timestamp,open,high,low,close,volume,quote_volume,trades,close_time
1759723200000,0.4700000,0.4700000,0.3200000,0.3715300,112687589,42668377.0048000,319013,1759737599999
1759737600000,0.3720500,0.4050000,0.2836700,0.3553600,340594835,118899525.8434900,963050,1759751999999
1759752000000,0.3554000,0.3684800,0.2877000,0.3008800,211132806,67497418.0471100,652565,1759766399999
1759766400000,0.3007900,0.3122400,0.2900000,0.3003800,117123875,35366606.0385400,339786,1759780799999
1759780800000,0.3003800,0.3227700,0.2670300,0.2778600,111263568,33188391.8855100,321983,1759795199999
1759795200000,0.2779400,0.3009400,0.2768800,0.2931400,91541352,26745694.3397400,290087,1759809599999
1759809600000,0.2930600,0.3008500,0.2850000,0.2943800,77828611,22859644.3345500,233536,1759823999999
1759824000000,0.2944600,0.2995000,0.2870100,0.2898100,76077887,22316536.6966700,242155,1759838399999
1759838400000,0.2897500,0.2982000,0.2655800,0.2891500,100570914,29086661.2397200,295957,1759852799999
1759852800000,0.2891500,0.3032300,0.2860000,0.2930500,53921704,15884385.4365500,196032,1759867199999
1759867200000,0.2929600,0.3069600,0.2870200,0.2894800,43661957,12981591.9283300,226457,1759881599999
1759881600000,0.2894800,0.3021900,0.2881600,0.2997300,30541221,8981297.7355600,186275,1759895999999
1759896000000,0.2997600,0.3019800,0.2861500,0.2922500,30381869,8899370.3486900,172517,1759910399999
1759910400000,0.2922500,0.3396500,0.2900400,0.3263200,105591246,33438921.1466000,519521,1759924799999
1759924800000,0.3263200,0.3486000,0.2790000,0.2835800,133566905,42359520.0138900,700509,1759939199999
1759939200000,0.2835100,0.3076900,0.2800000,0.3022800,44067594,12977236.3190600,259247,1759953599999
1759953600000,0.3024200,0.3024300,0.2745500,0.2861400,32475821,9323742.2140600,166125,1759967999999
1759968000000,0.2860400,0.2979800,0.2798500,0.2811500,32255133,9296119.8682500,194307,1759982399999
1759982400000,0.2811000,0.2860000,0.2655500,0.2679100,38234946,10536481.5530200,183267,1759996799999
1759996800000,0.2679200,0.2948200,0.2655500,0.2802900,60734947,17048936.1085200,304519,1760011199999
1760011200000,0.2803000,0.2831900,0.2000000,0.2003700,100976814,24263201.7227900,449560,1760025599999
1760025600000,0.2003100,0.2163700,0.1894400,0.1950000,72384019,14436309.1988800,287043,1760039999999
1760040000000,0.1951500,0.2070200,0.1900500,0.1911400,31616450,6233705.5449800,135633,1760054399999
1760054400000,0.1911400,0.1929000,0.1715000,0.1732100,66076458,12129124.6334900,253836,1760068799999
1760068800000,0.1732100,0.1809100,0.1600000,0.1626500,75492150,12837225.1494800,255580,1760083199999
1760083200000,0.1626600,0.1984100,0.1609900,0.1923400,123038539,22292319.7071800,436522,1760097599999
1760097600000,0.1923300,0.2158500,0.1654800,0.1783900,158701311,30543871.8219200,601453,1760111999999
1760112000000,0.1783700,0.1895300,0.1698600,0.1779600,63726944,11470947.6229800,234269,1760126399999
1760126400000,0.1780600,0.1801800,0.0853900,0.1314300,122358946,17796911.3107900,246846,1760140799999
1760140800000,0.1315300,0.1485200,0.1200000,0.1257100,50630588,6625598.9340200,134152,1760155199999
1760155200000,0.1258100,0.1468000,0.1215000,0.1463700,41626517,5666114.5348200,142042,1760169599999
1760169600000,0.1463000,0.1480500,0.1335000,0.1408600,56410679,7938318.9044000,173642,1760183999999
1760184000000,0.1408700,0.1459500,0.1320000,0.1439300,36997941,5140224.5583500,120841,1760198399999
1760198400000,0.1439200,0.1646200,0.1435900,0.1518600,57687052,8939599.5652400,193800,1760212799999
1760212800000,0.1518300,0.1685500,0.1488400,0.1674900,35994739,5636890.7135800,124376,1760227199999
1760227200000,0.1675000,0.1678700,0.1495400,0.1576500,44113949,6962523.3840400,152926,1760241599999
1760241600000,0.1576500,0.1661600,0.1500000,0.1629000,33433131,5230880.7963400,104916,1760255999999
1760256000000,0.1628900,0.1655900,0.1511300,0.1544300,32594555,5078133.1853900,100518,1760270399999
1760270400000,0.1544400,0.1576200,0.1370500,0.1508800,55636180,8159498.7885600,157527,1760284799999
1760284800000,0.1509000,0.1660300,0.1493200,0.1608100,32952346,5246600.5865100,105126,1760299199999
1760299200000,0.1607200,0.1813500,0.1581700,0.1799300,31742389,5343855.6026800,112347,1760313599999
1760313600000,0.1798700,0.1809900,0.1641700,0.1664800,30778811,5290571.6368500,121704,1760327999999
1760328000000,0.1665400,0.1779200,0.1611900,0.1751300,21003939,3583042.1059900,84552,1760342399999
1760342400000,0.1751100,0.1857900,0.1628500,0.1689000,36139995,6352300.7747200,128698,1760356799999
1760356800000,0.1689100,0.2058000,0.1491600,0.1612200,108415111,19200169.6108100,317855,1760371199999
1760371200000,0.1611400,0.1853900,0.1567700,0.1845200,31467059,5318954.7539400,123895,1760385599999
1760385600000,0.1845900,0.1867600,0.1759000,0.1803200,17901874,3239723.6930700,80005,1760399999999
1760400000000,0.1803800,0.1907500,0.1702200,0.1717600,28370730,5064465.3624300,114933,1760414399999
1760414400000,0.1718300,0.1767300,0.1643900,0.1659100,27746838,4687300.8329100,95780,1760428799999
1760428800000,0.1658900,0.1798800,0.1583600,0.1779900,36775205,6273343.4538400,135211,1760443199999
1760443200000,0.1779400,0.1896800,0.1664700,0.1808700,43201777,7650655.7325700,156546,1760457599999
1760457600000,0.1807500,0.1826700,0.1659900,0.1692000,31555217,5533984.3628800,111061,1760471999999
1760472000000,0.1692400,0.1804000,0.1670600,0.1780400,12729947,2201794.3705700,47553,1760486399999
1760486400000,0.1780400,0.1852800,0.1695600,0.1717600,27129193,4798905.9951000,100290,1760500799999
1760500800000,0.1718300,0.1823800,0.1709900,0.1805000,19429711,3427963.1560500,78739,1760515199999
1760515200000,0.1806000,0.1885000,0.1515000,0.1578500,48159814,8253841.0865600,167671,1760529599999
1760529600000,0.1578400,0.1696500,0.1556400,0.1676400,27667111,4496312.9936100,94179,1760543999999
1760544000000,0.1677000,0.1786800,0.1647400,0.1688600,19812408,3403179.1316300,86431,1760558399999
1760558400000,0.1688400,0.1737300,0.1658200,0.1718700,12713836,2161881.8499500,49368,1760572799999
1760572800000,0.1719200,0.1820100,0.1675100,0.1783700,25328595,4458675.7184200,106436,1760587199999
1760587200000,0.1783900,0.1819300,0.1693500,0.1765100,26240729,4618518.3216900,103652,1760601599999
1760601600000,0.1763800,0.1821200,0.1636600,0.1813600,28013858,4876613.6646600,107587,1760615999999
1760616000000,0.1813100,0.2172500,0.1692400,0.1763100,165092985,31469235.9167600,578274,1760630399999
1760630400000,0.1764300,0.1769000,0.1500000,0.1645300,75834951,12003352.6698800,218809,1760644799999
1760644800000,0.1644400,0.1703200,0.1557800,0.1677600,20511137,3342717.4010800,69703,1760659199999
