timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,1000LUNCUSDT,132940087.00000000,4909986.57344321
1771718400000,1000LUNCUSDT,125345949.00000000,4542537.19176000
1771804800000,1000LUNCUSDT,123874312.00000000,4387089.27778280
1771891200000,1000LUNCUSDT,121651010.00000000,4232646.16878350
1771977600000,1000LUNCUSDT,118698899.00000000,4112916.85035000
1772064000000,1000LUNCUSDT,120297104.00000000,4416455.54944160
1772150400000,1000LUNCUSDT,119805826.00000000,4544234.98018000
1772236800000,1000LUNCUSDT,195827282.00000000,8447585.54127908
1772323200000,1000LUNCUSDT,157373432.00000000,7117569.12615632
1772409600000,1000LUNCUSDT,142547378.00000000,6075369.25036000
1772496000000,1000LUNCUSDT,131936196.00000000,5583539.81472000
1772582400000,1000LUNCUSDT,128142340.00000000,5526779.12420000
1772668800000,1000LUNCUSDT,123334235.00000000,5533792.52288110
1772755200000,1000LUNCUSDT,120412032.00000000,5173518.60844416
1772841600000,1000LUNCUSDT,114959668.00000000,4882337.09996000
1772928000000,1000LUNCUSDT,116486323.00000000,4722355.53442000
1773014400000,1000LUNCUSDT,118046107.00000000,4901274.36264000
1773100800000,1000LUNCUSDT,111496361.00000000,4698456.65254000
1773187200000,1000LUNCUSDT,107925987.00000000,4543684.05270000
1773273600000,1000LUNCUSDT,114145461.00000000,4716490.44852000
1773360000000,1000LUNCUSDT,112576095.00000000,4629129.02640000
1773446400000,1000LUNCUSDT,112144384.00000000,4750436.10624000
1773532800000,1000LUNCUSDT,113362524.00000000,4680230.75185248
1773619200000,1000LUNCUSDT,114408668.00000000,4766221.63358616
1773705600000,1000LUNCUSDT,111777198.00000000,4761147.51326604
1773792000000,1000LUNCUSDT,111120725.00000000,4678815.91063250
1773878400000,1000LUNCUSDT,109113675.00000000,4494392.27325000
1773964800000,1000LUNCUSDT,106251936.00000000,4220326.89792000
