timestamp,symbol,sum_open_interest,sum_open_interest_value
1771632000000,GUAUSDT,35347671.00000000,5443241.58574992
1771718400000,GUAUSDT,35189169.00000000,5288228.31732000
1771804800000,GUAUSDT,35905275.00000000,5828003.84837475
1771891200000,GUAUSDT,35463857.00000000,5761812.84679000
1771977600000,GUAUSDT,39173392.00000000,7214374.00542272
1772064000000,GUAUSDT,43403623.00000000,10237178.52078000
1772150400000,GUAUSDT,42873147.00000000,10294133.70336813
1772236800000,GUAUSDT,40574404.00000000,8787531.38439280
1772323200000,GUAUSDT,40215343.00000000,8810609.78912254
1772409600000,GUAUSDT,40236848.00000000,8765597.33680000
1772496000000,GUAUSDT,40298551.00000000,9283174.20836000
1772582400000,GUAUSDT,41193709.00000000,10025359.92015826
1772668800000,GUAUSDT,42455342.00000000,11451903.95108000
1772755200000,GUAUSDT,41420209.00000000,11231918.07453000
1772841600000,GUAUSDT,40472613.00000000,10581168.84669486
1772928000000,GUAUSDT,39406920.00000000,10633563.29280000
1773014400000,GUAUSDT,38960930.00000000,10378022.92410000
1773100800000,GUAUSDT,38887175.00000000,10527536.01600000
1773187200000,GUAUSDT,38044744.00000000,10865578.88640000
1773273600000,GUAUSDT,37739111.00000000,10560652.42237410
1773360000000,GUAUSDT,37643383.00000000,10529607.09276000
1773446400000,GUAUSDT,37399775.00000000,10600479.27867950
1773532800000,GUAUSDT,37608405.00000000,10768414.60365000
1773619200000,GUAUSDT,37328120.00000000,10821532.47923520
1773705600000,GUAUSDT,36280885.00000000,10119827.25305000
1773792000000,GUAUSDT,35931704.00000000,10117289.89528000
1773878400000,GUAUSDT,35516985.00000000,9887461.93081710
1773964800000,GUAUSDT,35876811.00000000,10135876.10292357
