timestamp,symbol,sum_open_interest,sum_open_interest_value
1772496000000,KATUSDT,72962728.00000000,1867663.42998000
1772582400000,KATUSDT,107253471.00000000,1964068.46234040
1772668800000,KATUSDT,113940724.00000000,1762617.42399040
1772755200000,KATUSDT,118053643.00000000,1781582.94260590
1772841600000,KATUSDT,132853072.00000000,1675224.09669120
1772928000000,KATUSDT,161362322.00000000,1924794.32174480
1773014400000,KATUSDT,144829265.00000000,1796896.69085500
1773100800000,KATUSDT,137052748.00000000,1761867.89663920
1773187200000,KATUSDT,133094204.00000000,1817254.95199560
1773273600000,KATUSDT,133457748.00000000,1713197.11107600
1773360000000,KATUSDT,124860098.00000000,1713629.92899120
1773446400000,KATUSDT,164723906.00000000,2620856.17880360
1773532800000,KATUSDT,182850933.00000000,3135527.79908400
1773619200000,KATUSDT,161675888.00000000,2664838.99154880
1773705600000,KATUSDT,191615706.00000000,2742595.59997800
1773792000000,KATUSDT,218286902.00000000,3181444.28188920
1773878400000,KATUSDT,336564700.00000000,3830106.28600000
1773964800000,KATUSDT,422774774.00000000,4200402.66761768
