timestamp,symbol,funding_rate
1771099200000,NMRUSDT,0.00005000
1771113600000,NMRUSDT,0.00005000
1771128000000,NMRUSDT,0.00005000
1771142400002,NMRUSDT,0.00005000
1771156800005,NMRUSDT,0.00005000
1771171200000,NMRUSDT,0.00005000
1771185600009,NMRUSDT,0.00005000
1771200000001,NMRUSDT,0.00005000
1771214400004,NMRUSDT,0.00005000
1771228800003,NMRUSDT,0.00005000
1771243200000,NMRUSDT,0.00001310
1771257600000,NMRUSDT,0.00005000
1771272000009,NMRUSDT,0.00005000
1771286400008,NMRUSDT,0.00005000
1771300800003,NMRUSDT,-0.00005733
1771315200001,NMRUSDT,0.00005000
1771329600000,NMRUSDT,0.00005000
1771344000002,NMRUSDT,0.00005000
1771358400002,NMRUSDT,0.00005000
1771372800000,NMRUSDT,0.00005000
1771387200000,NMRUSDT,0.00005000
1771401600000,NMRUSDT,0.00005000
1771416000007,NMRUSDT,0.00005000
1771430400011,NMRUSDT,0.00005000
1771444800004,NMRUSDT,0.00005000
1771459200013,NMRUSDT,0.00005000
1771473600003,NMRUSDT,0.00004321
1771488000000,NMRUSDT,0.00005000
1771502400011,NMRUSDT,0.00005000
1771516800003,NMRUSDT,0.00005000
1771531200000,NMRUSDT,0.00005000
1771545600000,NMRUSDT,0.00005000
1771560000003,NMRUSDT,0.00005000
1771574400000,NMRUSDT,0.00000189
1771588800000,NMRUSDT,0.00002335
1771603200000,NMRUSDT,0.00005000
1771617600000,NMRUSDT,0.00005000
1771632000004,NMRUSDT,0.00005000
1771646400000,NMRUSDT,0.00005000
1771660800000,NMRUSDT,0.00005000
1771675200013,NMRUSDT,0.00001540
1771689600005,NMRUSDT,0.00005000
1771704000000,NMRUSDT,0.00005000
1771718400001,NMRUSDT,0.00003178
1771732800008,NMRUSDT,0.00003692
1771747200004,NMRUSDT,0.00005000
1771761600008,NMRUSDT,0.00005000
1771776000000,NMRUSDT,0.00005000
1771790400000,NMRUSDT,0.00003625
1771804800001,NMRUSDT,0.00005000
1771819200000,NMRUSDT,0.00005000
1771833600000,NMRUSDT,0.00002204
1771848000003,NMRUSDT,-0.00004084
1771862400000,NMRUSDT,-0.00003214
1771876800000,NMRUSDT,-0.00003216
1771891200007,NMRUSDT,0.00005000
1771905600000,NMRUSDT,0.00001041
1771920000000,NMRUSDT,0.00001760
1771934400000,NMRUSDT,-0.00000086
