timestamp,symbol,funding_rate
1771099200000,ONTUSDT,0.00005000
1771113600000,ONTUSDT,0.00004781
1771128000000,ONTUSDT,0.00001320
1771142400002,ONTUSDT,0.00005000
1771156800005,ONTUSDT,0.00005000
1771171200000,ONTUSDT,0.00005000
1771185600009,ONTUSDT,0.00005000
1771200000001,ONTUSDT,0.00005000
1771214400004,ONTUSDT,0.00005000
1771228800003,ONTUSDT,0.00005000
1771243200000,ONTUSDT,0.00005000
1771257600000,ONTUSDT,0.00005000
1771272000009,ONTUSDT,0.00005000
1771286400008,ONTUSDT,0.00005000
1771300800003,ONTUSDT,0.00005000
1771315200001,ONTUSDT,0.00005000
1771329600000,ONTUSDT,0.00005000
1771344000002,ONTUSDT,0.00005000
1771358400002,ONTUSDT,0.00005000
1771372800000,ONTUSDT,0.00005000
1771387200000,ONTUSDT,-0.00477750
1771401600000,ONTUSDT,-0.00014129
1771416000007,ONTUSDT,-0.00035745
1771430400011,ONTUSDT,-0.00009412
1771444800004,ONTUSDT,-0.00046889
1771459200013,ONTUSDT,-0.00012684
1771473600003,ONTUSDT,0.00005000
1771488000000,ONTUSDT,0.00005000
1771502400011,ONTUSDT,-0.00003748
1771516800003,ONTUSDT,0.00005000
1771531200000,ONTUSDT,0.00005000
1771545600000,ONTUSDT,0.00005000
1771560000003,ONTUSDT,0.00002011
1771574400000,ONTUSDT,0.00005000
1771588800000,ONTUSDT,0.00003508
1771603200000,ONTUSDT,0.00005000
1771617600000,ONTUSDT,0.00005000
1771632000004,ONTUSDT,0.00005000
1771646400000,ONTUSDT,-0.00006970
1771660800000,ONTUSDT,-0.00016778
1771675200013,ONTUSDT,-0.00024129
1771689600005,ONTUSDT,-0.00045709
1771704000000,ONTUSDT,-0.00015063
1771718400001,ONTUSDT,-0.00022050
1771732800008,ONTUSDT,-0.00029813
1771747200004,ONTUSDT,-0.00034862
1771761600008,ONTUSDT,-0.00037662
1771776000000,ONTUSDT,-0.00032141
1771790400000,ONTUSDT,-0.00031516
1771804800001,ONTUSDT,-0.00036305
1771819200000,ONTUSDT,-0.00042117
1771833600000,ONTUSDT,-0.00009333
1771848000003,ONTUSDT,-0.00003032
1771862400000,ONTUSDT,-0.00004216
1771876800000,ONTUSDT,-0.00009184
1771891200007,ONTUSDT,-0.00003052
1771905600000,ONTUSDT,-0.00233325
1771920000000,ONTUSDT,-0.00406689
1771934400000,ONTUSDT,-0.00022017
1771948800001,ONTUSDT,-0.00028902
1771963200002,ONTUSDT,0.00003390
1771977600001,ONTUSDT,0.00005000
1771992000000,ONTUSDT,-0.00093472
1772006400007,ONTUSDT,0.00002898
1772020800000,ONTUSDT,-0.00024604
1772035200000,ONTUSDT,0.00005000
1772049600006,ONTUSDT,0.00005000
1772064000000,ONTUSDT,0.00005000
1772078400000,ONTUSDT,-0.00016723
1772092800006,ONTUSDT,0.00005000
1772107200004,ONTUSDT,0.00001818
1772121600002,ONTUSDT,-0.00004216
1772136000001,ONTUSDT,0.00005000
1772150400007,ONTUSDT,0.00005000
1772164800000,ONTUSDT,0.00005000
1772179200000,ONTUSDT,0.00005000
1772193600000,ONTUSDT,0.00005000
1772208000001,ONTUSDT,0.00005000
1772222400007,ONTUSDT,0.00005000
1772236800000,ONTUSDT,0.00005000
1772251200002,ONTUSDT,0.00005000
